Alter;AlterJahr;Geschlecht;Anzahl;Altersgruppe
66-Jährige;66;weiblich;19175;60 bis < 70 Jahre
66-Jährige;66;Insgesamt;36442;60 bis < 70 Jahre
67-Jährige;67;männlich;16586;60 bis < 70 Jahre
67-Jährige;67;weiblich;19076;60 bis < 70 Jahre
67-Jährige;67;Insgesamt;35662;60 bis < 70 Jahre
68-Jährige;68;männlich;15951;60 bis < 70 Jahre
68-Jährige;68;weiblich;18749;60 bis < 70 Jahre
68-Jährige;68;Insgesamt;34700;60 bis < 70 Jahre
69-Jährige;69;männlich;15375;60 bis < 70 Jahre
69-Jährige;69;weiblich;18653;60 bis < 70 Jahre
69-Jährige;69;Insgesamt;34028;60 bis < 70 Jahre
70-Jährige;70;männlich;15447;70 bis < 80 Jahre
70-Jährige;70;weiblich;18880;70 bis < 80 Jahre
70-Jährige;70;Insgesamt;34327;70 bis < 80 Jahre
71-Jährige;71;männlich;15732;70 bis < 80 Jahre
71-Jährige;71;weiblich;19653;70 bis < 80 Jahre
71-Jährige;71;Insgesamt;35385;70 bis < 80 Jahre
72-Jährige;72;männlich;14655;70 bis < 80 Jahre
72-Jährige;72;weiblich;18115;70 bis < 80 Jahre
72-Jährige;72;Insgesamt;32770;70 bis < 80 Jahre
73-Jährige;73;männlich;13331;70 bis < 80 Jahre
73-Jährige;73;weiblich;16372;70 bis < 80 Jahre
73-Jährige;73;Insgesamt;29703;70 bis < 80 Jahre
74-Jährige;74;männlich;12250;70 bis < 80 Jahre
74-Jährige;74;weiblich;15395;70 bis < 80 Jahre
74-Jährige;74;Insgesamt;27645;70 bis < 80 Jahre
75-Jährige;75;männlich;9632;70 bis < 80 Jahre
75-Jährige;75;weiblich;11526;70 bis < 80 Jahre
75-Jährige;75;Insgesamt;21158;70 bis < 80 Jahre
76-Jährige;76;männlich;10334;70 bis < 80 Jahre
76-Jährige;76;weiblich;13118;70 bis < 80 Jahre
76-Jährige;76;Insgesamt;23452;70 bis < 80 Jahre
77-Jährige;77;männlich;13419;70 bis < 80 Jahre
77-Jährige;77;weiblich;16920;70 bis < 80 Jahre
77-Jährige;77;Insgesamt;30339;70 bis < 80 Jahre
